t,Q_NSrr_trial_N5_L3,Q_NSnsns_N5_R16,Q_ratio_minus_one_percent,Z_free_source_fixed,Z_free_target_fixed,Z_free_target_legacy,target_free_legacy_over_fixed_minus_one_percent,target_only_legacy_denominator_Q_ratio_minus_one_percent,Z_NSrr_trial,Z_NSnsns,legacy_mode_32_to_40_change,saved_legacy_free_reproduction_error
0.52,2.9565090476372474e-07,3.0460789628793404e-07,-2.9404987964404605,0.5530670290822071,0.5391054504638968,0.5286705743969468,-1.9355909048908493,-20.07952378626937,8.201348120942706e-10,6.55342659918197e-10,0.0,0.0
0.56,2.3563524815040934e-07,2.434921913426618e-07,-3.2267741930153027,0.5646558452393465,0.5514269408000244,0.5315708523598657,-3.600855701999439,-32.78965652874528,8.032859968467288e-10,6.557979402666055e-10,6.661338147750939e-16,4.440892098500626e-16
0.6,1.8774789556437902e-07,1.949426255891526e-07,-3.690691044623906,0.5754095923717206,0.5638924570404817,0.5372515435695153,-4.724467074943317,-40.470166029360534,7.72057166576776e-10,6.55686638700861e-10,4.440892098500626e-16,4.440892098500626e-16
0.64,1.4918377807754524e-07,1.558885443849333e-07,-4.301000008590794,0.5856170435864217,0.5766041619471758,0.5454770111880771,-5.39835693415448,-44.87730586609929,7.306459903053574e-10,6.543975469664073e-10,2.220446049250313e-16,7.771561172376096e-16
0.68,1.1804034756860241e-07,1.242699548310353e-07,-5.012963327220188,0.5955980979714159,0.5896298964083582,0.555899295837524,-5.720639468300215,-47.11223907209398,6.838714091483731e-10,6.513774011644249e-10,2.220446049250313e-16,5.551115123125783e-16
