z,q,p1,p2,p3,pillow_h_order10,pillow_h_order8,c_recursion_order20,c_recursion_order18,relative_h10_vs_c20,relative_h_truncation_shift,relative_c_truncation_shift,difference_over_shift_sum,cover_residual,nome_product_residual
0.015,0.0009446012393394202,0.010023739482445919,0.40015733777866375,0.23549839693866323,0.36563576365180617,0.3656333294533512,0.3656335861820832,0.36562895425034037,5.955332894052479e-06,6.657485132961547e-06,1.2668394253264194e-05,0.3081532682180073,7.131395210619556e-67,1.0295115178936058e-84
0.018083333333333333,0.0011405502127938678,0.012153736542464872,0.39911962863130085,0.2351264599347281,0.40109490969501627,0.4010922995291262,0.40109248830027416,0.4010873692439845,6.036998479784573e-06,6.5076439840820416e-06,1.2762945637708496e-05,0.31327523434768895,2.5572751060249838e-67,0.0
0.021166666666666667,0.001337115105511629,0.014308557277998096,0.39807223554367765,0.23475295133653876,0.4338521295041632,0.4338493703494601,0.43384947454263323,0.4338438952618432,6.119545339349292e-06,6.359706597871142e-06,1.2860111323397997e-05,0.31839767496326005,2.8375047504721757e-67,0.0
0.02425,0.0015342997417677777,0.016488711488121695,0.39701499609155644,0.23437785842345124,0.4645171115667377,0.46451422522697944,0.4645142301678394,0.4645082101348166,6.203036874203688e-06,6.213673557213146e-06,1.2960014250421806e-05,0.3235181951660672,1.1860394811586174e-67,2.0590230357872116e-84
0.027333333333333334,0.0017321079815616866,0.01869472429293128,0.395947743755362,0.23400116831791481,0.4935079892009307,0.49350499384969554,0.4935048862689148,0.4934984398046456,6.2875406145242495e-06,6.069545946852938e-06,1.3062785511161651e-05,0.3286343135086331,2.5376575151203933e-67,2.0590230357872116e-84
0.030416666666666668,0.0019305437210640566,0.02092713674861334,0.3948703077777966,0.23362286798281096,0.5211261469082831,0.52112305804235,0.5211228257255074,0.521115963376044,6.373128582521966e-06,5.927325389454603e-06,1.3168565051895498e-05,0.33374346182473064,6.004175157857855e-67,0.0
0.0335,0.00212961089307097,0.023186506493705444,0.3937825130150036,0.23324294421873434,0.5475972600660758,0.547594091131358,0.5475937226776013,0.547586452097149,6.4598776939937976e-06,5.78701408400816e-06,1.3277502437291227e-05,0.33884298543719427,2.4594785296535343e-67,0.0
0.036583333333333336,0.002329313467465102,0.025473408428468364,0.3926841797809142,0.2328613836612136,0.573095500715609,0.5730922635381406,0.5730917481852279,0.5730840747283351,6.547870202219902e-06,5.648614846764946e-06,1.3389757683405724e-05,0.3439301438105226,6.81093921364651e-67,4.118046071574423e-84
0.03966666666666667,0.0025296554516842282,0.027788435429433517,0.39157512368438663,0.2324781727778706,0.5977586428709682,0.5977553479650918,0.59775467545711,0.5977466025890744,6.637194188739016e-06,5.512131154898682e-06,1.3505502165474649e-05,0.3490021117206356,3.735125570612007e-67,0.0
0.04275,0.002730640891197162,0.030132199101341284,0.39045515545872095,0.2320932978655166,0.6216979253527983,0.6216945821484092,0.6216937426320468,0.6216852722201917,6.72794410601832e-06,5.377567193107455e-06,1.362491960754488e-05,0.3540559810196714,4.200856116728457e-67,4.118046071574423e-84
