t,minus_imag_I_1_3,rqmc_standard_error,matrix_model,worldsheet_over_matrix,rqmc_pull
0.05,2.8124875934412013e-05,4.372690068243087e-06,3.1789144061590514e-05,0.8847320921859647,-0.8379894458540428
0.15,0.0007295873436742255,0.00011314902473115866,0.0007911001233840977,0.9222440018758457,-0.5436439231891407
0.25,0.003120103952490345,0.0004805028089488119,0.0032716933991623442,0.9536663653413212,-0.31548087513500445
0.35,0.007592565462376813,0.0011539815797627822,0.007757267059861788,0.9787680898164269,-0.1427246330212932
0.45,0.013682446329560923,0.0020362934220920018,0.013715195977866676,0.9976121632998461,-0.016082971123143712
0.55,0.02008362953562365,0.002898313424346664,0.019876838771687406,1.0104036042306082,0.07134865477251037
0.65,0.024862287464008162,0.003438112884566817,0.024438010687167746,1.0173613467262783,0.12340396929517124
0.75,0.025817833416466707,0.003372487798152532,0.025346635674829147,1.0185901493074874,0.13971814572485178
0.85,0.020930827092109958,0.002537554419767446,0.020644590940489486,1.0138649466315697,0.11280000515090587
0.95,0.008850836186757959,0.0009737814642799238,0.008830757246293525,1.0022737506993369,0.02061955500383361
