task_id,task_kind,t_index,t,replicate,sobol_power,seed
138,production,9,0.2255,12,15,2026082412
139,production,9,0.2255,13,15,2026082413
140,production,10,0.2305,0,15,2026082400
141,production,10,0.2305,1,15,2026082401
142,production,10,0.2305,2,15,2026082402
143,production,10,0.2305,3,15,2026082403
144,production,10,0.2305,4,15,2026082404
145,production,10,0.2305,5,15,2026082405
146,production,10,0.2305,6,15,2026082406
147,production,10,0.2305,7,15,2026082407
148,production,10,0.2305,8,15,2026082408
149,production,10,0.2305,9,15,2026082409
150,production,10,0.2305,10,15,2026082410
151,production,10,0.2305,11,15,2026082411
152,production,10,0.2305,12,15,2026082412
153,production,10,0.2305,13,15,2026082413
154,production,11,0.2355,0,15,2026082400
155,production,11,0.2355,1,15,2026082401
156,production,11,0.2355,2,15,2026082402
157,production,11,0.2355,3,15,2026082403
158,production,11,0.2355,4,15,2026082404
159,production,11,0.2355,5,15,2026082405
160,production,11,0.2355,6,15,2026082406
161,production,11,0.2355,7,15,2026082407
162,production,11,0.2355,8,15,2026082408
163,production,11,0.2355,9,15,2026082409
164,production,11,0.2355,10,15,2026082410
165,production,11,0.2355,11,15,2026082411
166,production,11,0.2355,12,15,2026082412
167,production,11,0.2355,13,15,2026082413
168,production,12,0.2405,0,15,2026082400
169,production,12,0.2405,1,15,2026082401
170,production,12,0.2405,2,15,2026082402
171,production,12,0.2405,3,15,2026082403
172,production,12,0.2405,4,15,2026082404
173,production,12,0.2405,5,15,2026082405
174,production,12,0.2405,6,15,2026082406
175,production,12,0.2405,7,15,2026082407
176,production,12,0.2405,8,15,2026082408
177,production,12,0.2405,9,15,2026082409
178,production,12,0.2405,10,15,2026082410
179,production,12,0.2405,11,15,2026082411
180,production,12,0.2405,12,15,2026082412
181,production,12,0.2405,13,15,2026082413
182,production,13,0.2455,0,15,2026082400
183,production,13,0.2455,1,15,2026082401
184,production,13,0.2455,2,15,2026082402
185,production,13,0.2455,3,15,2026082403
186,production,13,0.2455,4,15,2026082404
187,production,13,0.2455,5,15,2026082405
188,production,13,0.2455,6,15,2026082406
189,production,13,0.2455,7,15,2026082407
190,production,13,0.2455,8,15,2026082408
191,production,13,0.2455,9,15,2026082409
192,production,13,0.2455,10,15,2026082410
193,production,13,0.2455,11,15,2026082411
194,production,13,0.2455,12,15,2026082412
195,production,13,0.2455,13,15,2026082413
196,production,14,0.2505,0,15,2026082400
197,production,14,0.2505,1,15,2026082401
198,production,14,0.2505,2,15,2026082402
199,production,14,0.2505,3,15,2026082403
200,production,14,0.2505,4,15,2026082404
201,production,14,0.2505,5,15,2026082405
202,production,14,0.2505,6,15,2026082406
203,production,14,0.2505,7,15,2026082407
204,production,14,0.2505,8,15,2026082408
205,production,14,0.2505,9,15,2026082409
206,production,14,0.2505,10,15,2026082410
207,production,14,0.2505,11,15,2026082411
208,production,14,0.2505,12,15,2026082412
209,production,14,0.2505,13,15,2026082413
210,production,15,0.2555,0,15,2026082400
211,production,15,0.2555,1,15,2026082401
212,production,15,0.2555,2,15,2026082402
213,production,15,0.2555,3,15,2026082403
214,production,15,0.2555,4,15,2026082404
215,production,15,0.2555,5,15,2026082405
216,production,15,0.2555,6,15,2026082406
217,production,15,0.2555,7,15,2026082407
218,production,15,0.2555,8,15,2026082408
219,production,15,0.2555,9,15,2026082409
220,production,15,0.2555,10,15,2026082410
221,production,15,0.2555,11,15,2026082411
222,production,15,0.2555,12,15,2026082412
223,production,15,0.2555,13,15,2026082413
224,production,16,0.2605,0,15,2026082400
225,production,16,0.2605,1,15,2026082401
226,production,16,0.2605,2,15,2026082402
227,production,16,0.2605,3,15,2026082403
228,production,16,0.2605,4,15,2026082404
229,production,16,0.2605,5,15,2026082405
230,production,16,0.2605,6,15,2026082406
231,production,16,0.2605,7,15,2026082407
232,production,16,0.2605,8,15,2026082408
233,production,16,0.2605,9,15,2026082409
234,production,16,0.2605,10,15,2026082410
235,production,16,0.2605,11,15,2026082411
236,production,16,0.2605,12,15,2026082412
237,production,16,0.2605,13,15,2026082413
238,production,17,0.2655,0,15,2026082400
239,production,17,0.2655,1,15,2026082401
240,production,17,0.2655,2,15,2026082402
241,production,17,0.2655,3,15,2026082403
242,production,17,0.2655,4,15,2026082404
243,production,17,0.2655,5,15,2026082405
244,production,17,0.2655,6,15,2026082406
245,production,17,0.2655,7,15,2026082407
246,production,17,0.2655,8,15,2026082408
247,production,17,0.2655,9,15,2026082409
248,production,17,0.2655,10,15,2026082410
249,production,17,0.2655,11,15,2026082411
250,production,17,0.2655,12,15,2026082412
251,production,17,0.2655,13,15,2026082413
252,production,18,0.2705,0,15,2026082400
253,production,18,0.2705,1,15,2026082401
254,production,18,0.2705,2,15,2026082402
255,production,18,0.2705,3,15,2026082403
256,production,18,0.2705,4,15,2026082404
257,production,18,0.2705,5,15,2026082405
258,production,18,0.2705,6,15,2026082406
259,production,18,0.2705,7,15,2026082407
260,production,18,0.2705,8,15,2026082408
261,production,18,0.2705,9,15,2026082409
262,production,18,0.2705,10,15,2026082410
263,production,18,0.2705,11,15,2026082411
264,production,18,0.2705,12,15,2026082412
265,production,18,0.2705,13,15,2026082413
266,production,19,0.2755,0,15,2026082400
267,production,19,0.2755,1,15,2026082401
268,production,19,0.2755,2,15,2026082402
269,production,19,0.2755,3,15,2026082403
270,production,19,0.2755,4,15,2026082404
271,production,19,0.2755,5,15,2026082405
272,production,19,0.2755,6,15,2026082406
273,production,19,0.2755,7,15,2026082407
274,production,19,0.2755,8,15,2026082408
275,production,19,0.2755,9,15,2026082409
276,production,19,0.2755,10,15,2026082410
277,production,19,0.2755,11,15,2026082411
278,production,19,0.2755,12,15,2026082412
279,production,19,0.2755,13,15,2026082413
280,production,20,0.2805,0,15,2026082400
281,production,20,0.2805,1,15,2026082401
282,production,20,0.2805,2,15,2026082402
283,production,20,0.2805,3,15,2026082403
284,production,20,0.2805,4,15,2026082404
285,production,20,0.2805,5,15,2026082405
286,production,20,0.2805,6,15,2026082406
287,production,20,0.2805,7,15,2026082407
288,production,20,0.2805,8,15,2026082408
289,production,20,0.2805,9,15,2026082409
290,production,20,0.2805,10,15,2026082410
291,production,20,0.2805,11,15,2026082411
292,production,20,0.2805,12,15,2026082412
293,production,20,0.2805,13,15,2026082413
294,production,21,0.2855,0,15,2026082400
295,production,21,0.2855,1,15,2026082401
296,production,21,0.2855,2,15,2026082402
297,production,21,0.2855,3,15,2026082403
298,production,21,0.2855,4,15,2026082404
299,production,21,0.2855,5,15,2026082405
300,production,21,0.2855,6,15,2026082406
301,production,21,0.2855,7,15,2026082407
302,production,21,0.2855,8,15,2026082408
303,production,21,0.2855,9,15,2026082409
304,production,21,0.2855,10,15,2026082410
305,production,21,0.2855,11,15,2026082411
306,production,21,0.2855,12,15,2026082412
307,production,21,0.2855,13,15,2026082413
308,production,22,0.2905,0,15,2026082400
309,production,22,0.2905,1,15,2026082401
310,production,22,0.2905,2,15,2026082402
311,production,22,0.2905,3,15,2026082403
312,production,22,0.2905,4,15,2026082404
313,production,22,0.2905,5,15,2026082405
314,production,22,0.2905,6,15,2026082406
315,production,22,0.2905,7,15,2026082407
316,production,22,0.2905,8,15,2026082408
317,production,22,0.2905,9,15,2026082409
318,production,22,0.2905,10,15,2026082410
319,production,22,0.2905,11,15,2026082411
320,production,22,0.2905,12,15,2026082412
321,production,22,0.2905,13,15,2026082413
322,production,23,0.2955,0,15,2026082400
323,production,23,0.2955,1,15,2026082401
324,production,23,0.2955,2,15,2026082402
325,production,23,0.2955,3,15,2026082403
326,production,23,0.2955,4,15,2026082404
327,production,23,0.2955,5,15,2026082405
328,production,23,0.2955,6,15,2026082406
329,production,23,0.2955,7,15,2026082407
330,production,23,0.2955,8,15,2026082408
331,production,23,0.2955,9,15,2026082409
332,production,23,0.2955,10,15,2026082410
333,production,23,0.2955,11,15,2026082411
334,production,23,0.2955,12,15,2026082412
335,production,23,0.2955,13,15,2026082413
336,production,24,0.3005,0,15,2026082400
337,production,24,0.3005,1,15,2026082401
338,production,24,0.3005,2,15,2026082402
339,production,24,0.3005,3,15,2026082403
340,production,24,0.3005,4,15,2026082404
341,production,24,0.3005,5,15,2026082405
342,production,24,0.3005,6,15,2026082406
343,production,24,0.3005,7,15,2026082407
344,production,24,0.3005,8,15,2026082408
345,production,24,0.3005,9,15,2026082409
346,production,24,0.3005,10,15,2026082410
347,production,24,0.3005,11,15,2026082411
348,production,24,0.3005,12,15,2026082412
349,production,24,0.3005,13,15,2026082413
350,production,25,0.3055,0,15,2026082400
351,production,25,0.3055,1,15,2026082401
352,production,25,0.3055,2,15,2026082402
353,production,25,0.3055,3,15,2026082403
354,production,25,0.3055,4,15,2026082404
355,production,25,0.3055,5,15,2026082405
356,production,25,0.3055,6,15,2026082406
357,production,25,0.3055,7,15,2026082407
358,production,25,0.3055,8,15,2026082408
359,production,25,0.3055,9,15,2026082409
360,production,25,0.3055,10,15,2026082410
361,production,25,0.3055,11,15,2026082411
362,production,25,0.3055,12,15,2026082412
363,production,25,0.3055,13,15,2026082413
364,production,26,0.3105,0,15,2026082400
365,production,26,0.3105,1,15,2026082401
366,production,26,0.3105,2,15,2026082402
367,production,26,0.3105,3,15,2026082403
368,production,26,0.3105,4,15,2026082404
369,production,26,0.3105,5,15,2026082405
370,production,26,0.3105,6,15,2026082406
371,production,26,0.3105,7,15,2026082407
372,production,26,0.3105,8,15,2026082408
373,production,26,0.3105,9,15,2026082409
374,production,26,0.3105,10,15,2026082410
375,production,26,0.3105,11,15,2026082411
376,production,26,0.3105,12,15,2026082412
377,production,26,0.3105,13,15,2026082413
378,production,27,0.3155,0,15,2026082400
379,production,27,0.3155,1,15,2026082401
380,production,27,0.3155,2,15,2026082402
381,production,27,0.3155,3,15,2026082403
382,production,27,0.3155,4,15,2026082404
383,production,27,0.3155,5,15,2026082405
384,production,27,0.3155,6,15,2026082406
385,production,27,0.3155,7,15,2026082407
386,production,27,0.3155,8,15,2026082408
387,production,27,0.3155,9,15,2026082409
388,production,27,0.3155,10,15,2026082410
389,production,27,0.3155,11,15,2026082411
390,production,27,0.3155,12,15,2026082412
391,production,27,0.3155,13,15,2026082413
392,production,28,0.3205,0,15,2026082400
393,production,28,0.3205,1,15,2026082401
394,production,28,0.3205,2,15,2026082402
395,production,28,0.3205,3,15,2026082403
396,production,28,0.3205,4,15,2026082404
397,production,28,0.3205,5,15,2026082405
398,production,28,0.3205,6,15,2026082406
399,production,28,0.3205,7,15,2026082407
400,production,28,0.3205,8,15,2026082408
401,production,28,0.3205,9,15,2026082409
402,production,28,0.3205,10,15,2026082410
403,production,28,0.3205,11,15,2026082411
404,production,28,0.3205,12,15,2026082412
405,production,28,0.3205,13,15,2026082413
406,production,29,0.3255,0,15,2026082400
407,production,29,0.3255,1,15,2026082401
408,production,29,0.3255,2,15,2026082402
409,production,29,0.3255,3,15,2026082403
410,production,29,0.3255,4,15,2026082404
411,production,29,0.3255,5,15,2026082405
412,production,29,0.3255,6,15,2026082406
413,production,29,0.3255,7,15,2026082407
414,production,29,0.3255,8,15,2026082408
415,production,29,0.3255,9,15,2026082409
416,production,29,0.3255,10,15,2026082410
417,production,29,0.3255,11,15,2026082411
418,production,29,0.3255,12,15,2026082412
419,production,29,0.3255,13,15,2026082413
420,systematics,0,0.1805,-1,11,2026088400
421,systematics,1,0.1855,-1,11,2026088400
422,systematics,2,0.1905,-1,11,2026088400
423,systematics,3,0.1955,-1,11,2026088400
424,systematics,4,0.2005,-1,11,2026088400
425,systematics,5,0.2055,-1,11,2026088400
426,systematics,6,0.2105,-1,11,2026088400
427,systematics,7,0.2155,-1,11,2026088400
428,systematics,8,0.2205,-1,11,2026088400
429,systematics,9,0.2255,-1,11,2026088400
430,systematics,10,0.2305,-1,11,2026088400
431,systematics,11,0.2355,-1,11,2026088400
432,systematics,12,0.2405,-1,11,2026088400
433,systematics,13,0.2455,-1,11,2026088400
434,systematics,14,0.2505,-1,11,2026088400
435,systematics,15,0.2555,-1,11,2026088400
436,systematics,16,0.2605,-1,11,2026088400
437,systematics,17,0.2655,-1,11,2026088400
438,systematics,18,0.2705,-1,11,2026088400
439,systematics,19,0.2755,-1,11,2026088400
440,systematics,20,0.2805,-1,11,2026088400
441,systematics,21,0.2855,-1,11,2026088400
442,systematics,22,0.2905,-1,11,2026088400
443,systematics,23,0.2955,-1,11,2026088400
444,systematics,24,0.3005,-1,11,2026088400
445,systematics,25,0.3055,-1,11,2026088400
446,systematics,26,0.3105,-1,11,2026088400
447,systematics,27,0.3155,-1,11,2026088400
448,systematics,28,0.3205,-1,11,2026088400
449,systematics,29,0.3255,-1,11,2026088400
