t,N,source_L,target_R,comparison,source_Z,target_Z,free_frame_power,ratio,norm_ratio,phase_difference_rad,relative_disagreement
0.52,3,5.0,12,s=+1,2.0264013646158437e-10,6.249924766999017e-10,1.2893735355490177,0.2514617465180153,0.2514617465180153,0.0,0.7485382534819847
0.52,3,5.0,12,s=-1,2.2030493199140322e-10,6.802728590544874e-10,1.2893735355490177,0.25116685270474526,0.25116685270474526,0.0,0.7488331472952547
0.52,3,5.0,12,resolved_00,2.120256207592664e-10,6.54397553649333e-10,1.2893735355490177,0.25128578647460764,0.25128578647460764,-7.985541205503027e-19,0.7487142135253924
0.52,3,5.0,12,resolved_11,2.1091944769372128e-10,6.508677821050563e-10,1.2893735355490177,0.25133044421995365,0.25133044421995365,-2.5531406405534103e-19,0.7486695557800463
0.52,3,5.0,12,spin_sum,4.2294506845298767e-10,1.3052653357543891e-09,1.2893735355490177,0.251308054964294,0.251308054964294,-5.276738800956301e-19,0.748691945035706
0.56,3,5.0,12,s=+1,1.9853458188944975e-10,6.213505419865564e-10,1.2657412389928568,0.2524378973129998,0.2524378973129998,0.0,0.7475621026870002
0.56,3,5.0,12,s=-1,2.157294215606387e-10,6.75676319480871e-10,1.2657412389928568,0.25224684939902625,0.25224684939902625,0.0,0.7477531506009738
0.56,3,5.0,12,resolved_00,2.0876176117429304e-10,6.53806074407808e-10,1.2657412389928568,0.2522650414659274,0.2522650414659274,-3.2552519150419248e-19,0.7477349585340727
0.56,3,5.0,12,resolved_11,2.0550224227579546e-10,6.432207870596196e-10,1.2657412389928568,0.2524129100164623,0.2524129100164623,1.8954977143366196e-19,0.7475870899835377
0.56,3,5.0,12,spin_sum,4.142640034500885e-10,1.2970268614674276e-09,1.2657412389928568,0.2523383723492592,0.2523383723492592,-7.005582942099125e-20,0.7476616276507408
0.6,3,5.0,12,s=+1,1.909387480166164e-10,6.174704431773435e-10,1.2226013135427836,0.25292574548201147,0.25292574548201147,0.0,0.7470742545179885
0.6,3,5.0,12,s=-1,2.072498596036154e-10,6.704552915790674e-10,1.2226013135427836,0.2528363802922596,0.2528363802922596,0.0,0.7471636197077405
0.6,3,5.0,12,resolved_00,2.017199465973768e-10,6.528144594598787e-10,1.2226013135427836,0.2527401397183914,0.2527401397183914,-4.456965445658913e-19,0.7472598602816086
0.6,3,5.0,12,resolved_11,1.9646866102285507e-10,6.351112752965323e-10,1.2226013135427836,0.25302218647476443,0.25302218647476443,-2.4978711931851465e-19,0.7469778135252356
0.6,3,5.0,12,spin_sum,3.9818860762023184e-10,1.287925734756411e-09,1.2226013135427836,0.25287922465962615,0.25287922465962615,-3.49075435472744e-19,0.7471207753403739
0.64,3,5.0,12,s=+1,1.8089583302100473e-10,6.130474967590535e-10,1.1666966287645855,0.25291611176668244,0.25291611176668244,0.0,0.7470838882333175
0.64,3,5.0,12,s=-1,1.960000089955573e-10,6.641047452287482e-10,1.1666966287645855,0.2529656571285548,0.2529656571285548,0.0,0.7470343428714452
0.64,3,5.0,12,resolved_00,1.9195578242966993e-10,6.510163969281208e-10,1.1666966287645855,0.25272681788793894,0.25272681788793894,-1.2659476418934694e-18,0.7472731821120611
0.64,3,5.0,12,resolved_11,1.8494005958689222e-10,6.261358450596812e-10,1.1666966287645855,0.253165477347739,0.253165477347739,5.14922171264664e-19,0.746834522652261
0.64,3,5.0,12,spin_sum,3.7689584201656215e-10,1.277152241987802e-09,1.1666966287645855,0.25294187479542857,0.25294187479542857,-3.9232018432989176e-19,0.7470581252045714
0.68,3,5.0,12,s=+1,1.695985693765836e-10,6.077975592502021e-10,1.1052930040739384,0.2524560667187804,0.2524560667187804,0.0,0.7475439332812196
0.68,3,5.0,12,s=-1,1.8326995490417121e-10,6.561211546878434e-10,1.1052930040739384,0.25271429641702486,0.25271429641702486,0.0,0.7472857035829752
0.68,3,5.0,12,resolved_00,1.8069773531750588e-10,6.479560369556692e-10,1.1052930040739384,0.2523072603647693,0.2523072603647693,3.2730462530619314e-19,0.7476927396352306
0.68,3,5.0,12,resolved_11,1.72170788963249e-10,6.159626769823765e-10,1.1052930040739384,0.2528876674522991,0.2528876674522991,-3.4073804924234426e-19,0.7471123325477009
0.68,3,5.0,12,spin_sum,3.5286852428075486e-10,1.2639187139380458e-09,1.1052930040739384,0.25259011803546594,0.25259011803546594,1.6786201376463356e-21,0.7474098819645341
0.6,3,3.0,12,s=+1,1.9088815499791034e-10,6.174704431773435e-10,1.2226013135427836,0.25285872777552004,0.25285872777552004,0.0,0.7471412722244799
0.6,3,3.0,12,s=-1,2.0722318856701208e-10,6.704552915790674e-10,1.2226013135427836,0.2528038427148334,0.2528038427148334,0.0,0.7471961572851666
