t,Z_trial,Q_trial_reference,level_coarse,level_fine,level_relative_change,quadrature_coarse,quadrature_fine,quadrature_relative_change,mixed_fraction
0.52,8.201348120942706e-10,2.9565090476372474e-07,2,3,-0.0015829535673879125,4,5,0.0006623871046944618,0.4798490997460054
0.56,8.032859968467288e-10,2.3563524815041072e-07,2,3,-0.0012849594861907843,4,5,0.0006807629104090829,0.47975143128618114
0.6,7.72057166576776e-10,1.8774789556437902e-07,2,3,-0.0008289879114997678,4,5,0.0007163105321965624,0.4795646130083149
0.64,7.306459903053574e-10,1.4918377807754524e-07,2,3,-0.00040310456687486784,4,5,0.0007666956595755448,0.4793025807569784
0.68,6.838714091483731e-10,1.1804034756860241e-07,2,3,-0.00013316931287177258,4,5,0.0008286091530540496,0.478981346602833
