t,allNS_saved_numerator,allNS_Q_diagnostic,source_free,target_free,baseline_Q_L2_N3,baseline_relative_difference,Q_L2_N3,relative_difference_L2_N3,Q_L3_N3,relative_difference_L3_N3,Q_L2_N4,relative_difference_L2_N4,Q_L3_N4,relative_difference_L3_N4,Q_L2_N5,relative_difference_L2_N5,Q_L3_N5,relative_difference_L3_N5,refined_Z_trial,refined_Q_trial,refined_relative_difference,last_level_relative_change,last_quadrature_relative_change
0.52,6.55342659918197e-10,3.0460789628793404e-07,0.5530670290822071,0.5391054504638968,2.93425521351076e-07,-0.036710719167594275,2.9342552135107695e-07,-0.036710719167591166,2.929592184761808e-07,-0.038241549065892166,2.9592322473861534e-07,-0.028510986271706562,2.954551990498592e-07,-0.030047472011110132,2.9611964841756096e-07,-0.027866145210987847,2.9565090476372474e-07,-0.029404987964404605,8.201348120942706e-10,2.9565090476372474e-07,-0.029404987964404605,-0.0015829535673879125,0.0006623871046944618
0.56,6.557979402666055e-10,2.434921913426618e-07,0.5646558452393465,0.5514269408000244,2.337695231548935e-07,-0.03993010262117924,2.3376952315489427e-07,-0.03993010262117613,2.3346800175624667e-07,-0.041168423230083295,2.3577762821981258e-07,-0.03168300010078218,2.3547494554115574e-07,-0.03292608997971336,2.3593841946065354e-07,-0.03102264528630405,2.3563524815041072e-07,-0.032267741930147475,8.032859968467288e-10,2.3563524815041072e-07,-0.032267741930147475,-0.0012849594861907843,0.0006807629104090829
0.6,6.55686638700861e-10,1.949426255891526e-07,0.5754095923717206,0.5638924570404817,1.8614268083573364e-07,-0.04514120360708129,1.8614268083573425e-07,-0.045141203607078184,1.85987849117151e-07,-0.04593544610850808,1.8776899379448593e-07,-0.0367986825507588,1.8761350603402453e-07,-0.037596290359679485,1.8790366543154827e-07,-0.03610785551046769,1.8774789556437902e-07,-0.03690691044623906,7.72057166576776e-10,1.8774789556437902e-07,-0.03690691044623906,-0.0008289879114997678,0.0007163105321965624
0.64,6.543975469664073e-10,1.558885443849333e-07,0.5856170435864217,0.5766041619471758,1.478085900436387e-07,-0.05183161067527109,1.4780859004363918e-07,-0.05183161067526809,1.4774886880767371e-07,-0.05221471282174783,1.4912951235686005e-07,-0.043358105977199024,1.4906948714877312e-07,-0.04374315805606577,1.492439389909309e-07,-0.04262407747932373,1.4918377807754524e-07,-0.04301000008590794,7.306459903053574e-10,1.4918377807754524e-07,-0.04301000008590794,-0.00040310456687486784,0.0007666956595755448
0.68,6.513774011644249e-10,1.242699548310353e-07,0.5955980979714159,0.5896298964083582,1.1688646460708422e-07,-0.059414926431655246,1.1688646460708463e-07,-0.059414926431652026,1.1687090711757725e-07,-0.05954011750883981,1.1795828832437295e-07,-0.05078996379490175,1.1794261923476932e-07,-0.05091605291777079,1.1805606901419338e-07,-0.050003122840840186,1.1804034756860241e-07,-0.05012963327220188,6.838714091483731e-10,1.1804034756860241e-07,-0.05012963327220188,-0.00013316931287177258,0.0008286091530540496
