t,Q_allNS_diagnostic,Q_trial_L3_N3,Q_trial_L4_N3,Q_trial_L5_N3,Z_trial_L5,L3_to_L4_relative,L4_to_L5_relative,trial_over_allNS_minus_one
0.52,3.0460789628793404e-07,2.9295921847617875e-07,2.9303573485121567e-07,2.9302286003262587e-07,8.128446231011485e-10,0.0002611843909021694,-4.3936001854261164e-05,-0.03803261962834115
0.56,2.434921913426618e-07,2.3346800175624493e-07,2.3351356544983288e-07,2.3350644504562824e-07,7.960288579528733e-10,0.00019516033565714075,-3.0492464927811547e-05,-0.041010540181885435
0.6,1.949426255891526e-07,1.8598784911714955e-07,1.860081938566013e-07,1.8600530639101945e-07,7.648912888680161e-10,0.00010938746562372259,-1.5523324655708493e-05,-0.04584589527879246
0.64,1.558885443849333e-07,1.477488688076725e-07,1.4775665117938146e-07,1.4775545710968585e-07,7.236506118434105e-10,5.267296982891523e-05,-8.081326194675498e-06,-0.05217244992142933
0.68,1.242699548310353e-07,1.1687090711757624e-07,1.1687525706216396e-07,1.1687455539870278e-07,6.771173462332325e-10,3.722008064288573e-05,-6.003524431252849e-06,-0.0595107598002087
