point_id,momentum_order,source_Q_saved_D3,source_Q_c_recursion_D5,target_Q_reused,source_D3_to_D5_relative_change,raw_ratio_D3,raw_ratio_c_recursion_D5,raw_D5_residual_from_one
generic_01,4,1.0657717192798121e-07,1.065263225277433e-07,1.0698893783083555e-07,-0.00047711343168566067,0.996151322639492,0.9956760454634692,-0.004323954536530783
generic_02,4,4.2027134690022567e-07,4.2035223664998623e-07,4.203478316503923e-07,0.0001924702941495937,0.9998180441424752,1.0000104794155276,1.0479415527564484e-05
generic_03,5,1.2415522489993998e-07,1.242533619720884e-07,1.2418431102612407e-07,0.0007904385194219543,0.9997657826021359,1.0005560359871046,0.0005560359871046305
generic_04,5,3.419881038317207e-07,3.420134338341303e-07,3.4514533246430926e-07,7.406691088318595e-05,0.9908524660900201,0.9909258554713243,-0.00907414452867572
generic_05,5,1.4029309566155526e-07,1.4036938576855735e-07,1.400222540025225e-07,0.0005437908875154385,1.0019342758118142,1.00247911854089,0.002479118540889891
generic_06,5,1.4737343958040835e-07,1.4741556898158013e-07,1.480983562718711e-07,0.00028586834433474984,0.9951051672029905,0.9953896362695778,-0.004610363730422229
generic_07,4,4.1348566651894615e-07,4.135578146370949e-07,4.146179259791936e-07,0.00017448759168892103,0.9972691497658394,0.9974431608580476,-0.0025568391419523717
generic_08,4,2.702063139145674e-07,2.702341404665998e-07,2.7033476143060976e-07,0.00010298261217234206,0.9995248575678444,0.9996277912486079,-0.0003722087513921002
generic_09,4,1.7515039803874974e-07,1.75185362362901e-07,1.7587753276711643e-07,0.0001996245771793692,0.9958656758658907,0.9960644751303628,-0.003935524869637219
generic_10,5,2.46543712026168e-07,2.465577358520565e-07,2.4741890188333584e-07,5.688170172013507e-05,0.9964627203075193,0.996519400802751,-0.003480599197248968
