t,Z_trial,Q_trial_reference,level_1_to_2_relative_change,quadrature_2_to_3_relative_change,mixed_fraction,without_sewing_sign,formal_same_convention_tilde
0.52,8.139616045120751e-10,2.93425521351076e-07,0.013379285206161162,0.03846636374826673,0.4792807033335224,3.258196822513619e-11,"[3.25819682251362e-11, -1.0424331681163602e-24]"
0.56,7.969256972963438e-10,2.337695231548935e-07,0.011936656376946297,0.03817604258792073,0.47923549580888175,3.1972747964823663e-11,"[3.197274796482364e-11, -1.0192430535211285e-24]"
0.6,7.654562002574475e-10,1.8614268083573364e-07,0.009484655079579074,0.03760209671995485,0.4791369956244629,3.086151262718514e-11,"[3.086151262718516e-11, -9.765144506975852e-25]"
0.64,7.239108369539827e-10,1.478085900436387e-07,0.0067117871870314705,0.036763076199777256,0.4789754930519185,2.941971838586285e-11,"[2.9419718385862836e-11, -9.196585928535034e-25]"
0.68,6.771863427016894e-10,1.1688646460708422e-07,0.004311078142085201,0.03569548931058164,0.478747874063875,2.7826757111584026e-11,"[2.7826757111584078e-11, -8.575438600927377e-25]"
